"subject_id"	"subject_snippet"	"property"	"object_id"	"object_label"	"object_snippet"	"snippet"
"http://www.wikidata.org/entity/Q1336786"	"Rameaus Neffe"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3900"	"narration"	"erzählt"	"Wo er erzählt, ist er sehr kurz, fast zu kurz; sobald irgend möglich, geht er zum Dialog über; diesen handhabt er mit seltener Meisterschaft; In der Religieuse erzählt die Nonne ihre Schicksale in der ersten Person;"
"http://www.wikidata.org/entity/Q1336786"	"Rameaus Neffe"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3906"	"satire"	"satirische"	"In Rameaus Neffe geisselt er ja die Verkommenheit und Sittenlosigkeit seiner Zeit. Solche satirische Darstellungen hält er für nützlich, wenn sie wahr sind."
